GSTIN of Jobworker,PARTY NAME ,State,Our Main Challan No.,Our Main Challan Date,Description of Goods Sent,UOM, Quantity Sent , Taxable Value , Tax Rate , Total ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,20,06.04.2023,  Poly Tube Blue PUN-16X2.5-BL P-159672 F ,MTRS, 20.00 ," 4,480.00 ", -   ," 4,480.00 ",,
03AABCI1842A1ZF,IOL CHEMICALS AND PHARMACEUTICALS LIMITED,Maharashtra,29,11.04.2023,IBUPROFEN,KGS, 10.00 ," 9,000.00 "," 1,620.00 "," 10,620.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,30,11.04.2023,Gland FLPDOuble compression ¾” X 19mm Br ,EA, 25.00 ," 1,375.00 ", -   ," 1,375.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,30,11.04.2023,Short link 10way ,EA, 7.00 , 350.00 , -   , 350.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,30,11.04.2023,LUG Pin type 4 sq mm copper ,EA, 400.00 ," 1,600.00 ", -   ," 1,600.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE VACCINES PVT.LTD. SEZ UNIT,Maharashtra,30,11.04.2023,TB conector 2.5 ,EA, 7.00 , 154.00 , -   , 154.00 ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,35,12.04.2023,Cable Flexible Braided 1.0mmsq 3 Core Co            ,MTRS, 60.00 ," 5,040.00 ", 907.00 ," 5,947.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,35,12.04.2023,ANALOGUE OUTPUT MODULE FX3U 4DA MITSUB,EA, 1.00 ," 10,250.00 "," 1,845.00 "," 12,095.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,Network Cable CAT-6 D-Link,EA, 300.00 ," 7,044.00 ", -   ," 7,044.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,"Flat 8 mm Thick, 75 mm Width, SS 304",MM," 24,000.00 "," 28,800.00 ", -   ," 28,800.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,Cable Tie 3mmwide 150mm long Nylon,EA, 5.00 , 85.00 , -   , 85.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,Cable Tie 3mmwide 100mm long Nylon,EA, 5.00 , 85.00 , -   , 85.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,Gasket Circular 540OD 220ID 10Thk EPDM,EA, 4.00 ," 2,01,240.00 ", -   ," 2,01,240.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,"Triclover Clamp 1"" OD 3A S04",EA, 8.00 ," 1,408.00 ", -   ," 1,408.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,"Triclover Clamp 13MHM 4"" OD 3A SS 304",EA, 4.00 ," 1,520.00 ", -   ," 1,520.00 ",,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,"Triclover PTFE Gasket 1"" OD 3A",EA, 8.00 , 360.00 , -   , 360.00 ,,
27AALCP9522A1ZF,SERUM INSTITUTE OF INDIA PVT LTD (SEZ UNIT),Maharashtra,37,13.04.2023,Triclover GASKET OD 119 PTFE XXX,EA, 8.00 , 920.00 , -   , 920.00 ,,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,39,13.04.2023,S.S.304 HEX BOLT 10 x 35,EA, 20.00 , 320.00 , 58.00 , 378.00 ,,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,39,13.04.2023,silicon Gasket 600 x 600 x 3,EA, 3.00 ," 1,350.00 ", 243.00 ," 1,593.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,QUADRO SIFTER,EA, 2.00 ," 51,48,000.00 ", -   ," 51,48,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,"SPOOL PIECE SS316L,VIBRATING FORK TYPE",EA, 3.00 ," 1,20,000.00 ", -   ," 1,20,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,SUCTION LANCE SS 316 DIA 63.5MMX1 M,EA, 2.00 ," 38,000.00 ", -   ," 38,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,PTS HOLDERS,EA, 4.00 ," 1,64,000.00 ", -   ," 1,64,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,PTS ARM MOUNTING,EA, 4.00 ," 44,000.00 ", -   ," 44,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,PTS MOUNTING STAND ,EA, 2.00 ," 2,50,000.00 ", -   ," 2,50,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,PTS STAND LEG SUPPORTS,EA, 2.00 ," 2,22,000.00 ", -   ," 2,22,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,FIXED STAND W/ARM SS 316 FOR PTS -200,EA, 1.00 ," 1,02,000.00 ", -   ," 1,02,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,49,17.04.2023,SIFTER STAND,EA, 2.00 ," 1,66,000.00 ", -   ," 1,66,000.00 ",,
37AAACD6745J2ZE,Divis Laboratories Ltd (DSN SEZ Unit),Andra Pradesh,52,18.04.2023,V TOP FILE,EA, 1.00 , -   , -   , -   ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,54,19.04.2023,V TOP FILE,EA, 1.00 , -   , -   , -   ,,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,57,19.04.2023,"M010027664 SS PLUG S/E SIZE: 1/4""",EA, 1.00 ," 1,000.00 ", -   ," 1,000.00 ",,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,57,19.04.2023,PO20000832 SAMPLING ROD,EA, 1.00 ," 1,000.00 ", -   ," 1,000.00 ",,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,57,19.04.2023,S030000681 SS COVER,EA, 2.00 ," 4,000.00 ", -   ," 4,000.00 ",,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,Weighing Display Stand     ,EA, 2.00 ," 2,00,000.00 ", -   ," 2,00,000.00 ",,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,Reactor charging nozzle,EA, 1.00 ," 20,000.00 ", -   ," 20,000.00 ",,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,Conical washer    ,EA, 50.00 , 400.00 , -   , 400.00 ,,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,CSK allen bolt M6 X 35,EA, 50.00 , 300.00 , -   , 300.00 ,,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,Allen bolt M8 x 50               ,EA, 8.00 , 150.00 , -   , 150.00 ,,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,M8 Dome     ,EA, 8.00 , 80.00 , -   , 80.00 ,,
24AAICB7161N1ZC,IPCA LABORATORIES LTD NANDESARI,GUJARAT,59,20.04.2023,Dome bolt  M6 x 20      ,EA, 20.00 , 200.00 , -   , 200.00 ,,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,66,25.04.2023,ANFD Plug Blind ,EA, 1.00 ," 1,000.00 ", 180.00 ," 1,180.00 ",,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,66,25.04.2023,1” Clamp and gasket ,EA, 4.00 ," 1,200.00 ", 216.00 ," 1,416.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,85,29.04.2023,V TOP FILE,EA, 1.00 , -   , -   , -   ,,
36AAHC5884J1ZP,S V LABS PVT. LTD.,Andra Pradesh,86,29.04.2023,V TOP FILE,EA, 1.00 , -   , -   , -   ,,
36AAHC5884J1ZP,S V LABS PVT. LTD.,Andra Pradesh,86,29.04.2023,"2"" hose pipe ",MTRS, 5.00 ," 2,015.00 ", 363.00 ," 2,378.00 ",,
36AAHC5884J1ZP,S V LABS PVT. LTD.,Andra Pradesh,86,29.04.2023,"2"" Ball valve ",EA, 1.00 ," 5,150.00 ", 927.00 ," 6,077.00 ",,
24AABCF1120G1ZF,FIRMENICH AROMATICS PROD.(I) Pvt. L,GUJARAT,87,29.04.2023,Reducer 1.5” X 2” ,EA, 1.00 ," 1,200.00 ", 216.00 ," 1,416.00 ",,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andra Pradesh,88,29.04.2023,Gasket J solid 26W X 24H Sil Food Grade,MTRS, 15.00 ," 8,400.00 ", -   ," 8,400.00 ",,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andra Pradesh,88,29.04.2023,GASKET 'D' TYPE SILICONE SPONG 16.5 X 28,MTRS, 15.00 ," 8,100.00 ", -   ," 8,100.00 ",,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andra Pradesh,88,29.04.2023,AC DRIVE 3 HP ACS560-03-06A9-4 ABB,EA, 1.00 ," 21,965.00 ", -   ," 21,965.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,Sack Discharge to Shifter Bellow,EA, 4.00 ," 5,800.00 "," 1,044.00 "," 6,844.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,sack discharge mouting distance pieace,EA, 3.00 ," 6,450.00 "," 1,161.00 "," 7,611.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,with 3/4 Ferul and TC clamp with Gasket,EA, 12.00 ," 1,860.00 ", 335.00 ," 2,195.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,Pack off Vent  Filter,EA, 1.00 , 655.00 , 118.00 , 773.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,Blind flange silo,EA, 3.00 ," 1,125.00 ", 203.00 ," 1,328.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,"Blind flange Rigid pipe 2""",EA, 1.00 , 275.00 , 50.00 , 325.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,Flus bottom valve SS 1.5''  flange to TC,EA, 2.00 , 590.00 , 106.00 , 696.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,95,01.05.2023,"3"" Hose pipe",MTRS, 45.00 ," 20,475.00 "," 3,686.00 "," 24,161.00 ",,
27AABCH3223J1ZS,Harman Finochem Limited (API SHENDR ),Maharastra,96,01.05.2023,Spool Piece assembly 200 X 170 mm ,EA, 1.00 ," 5,000.00 ", 900.00 ," 5,900.00 ",,
24AAACN5836E2ZO,NEOGEN CHEMICALS LIMITED,GUJARAT,97,01.05.2023,Spool Piece 12” X 8” ,EA, 1.00 ," 45,000.00 "," 8,100.00 "," 53,100.00 ",,
24AAACN5836E2ZO,NEOGEN CHEMICALS LIMITED,GUJARAT,97,01.05.2023,Spool Piece 8” X 4” ,EA, 1.00 ," 35,000.00 "," 6,300.00 "," 41,300.00 ",,
24AAACI1220M2ZY,IPCA laboratories ltd.,GUJARAT,104,02.05.2023,V TOP DOCUMENT,EA, 1.00 , -   , -   , -   ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Triclover Silicone Gasket 1"" OD 3A",EA, 10.00 , 140.00 , 25.20 , 165.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Serrated Nozzle 2"" Triclover End S6L",EA, 6.00 ," 2,040.00 ", 367.20 ," 2,407.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Triclover Ferrule 1"" OD 3A S6L",EA, 6.00 , 636.00 , 114.00 , 750.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Triclover Blind 1"" OD 3A S6L",EA, 3.00 , 372.00 , 66.96 , 439.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,Connector Elbow QSL-1/4-8 Festo 153049,EA, 3.00 , 306.00 , 55.08 , 361.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Serrated Nozzle 2 1/2"" Triclover End S6L",EA, 4.00 ," 1,468.00 ", 264.00 ," 1,732.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,Bolt Hex Head Full Thr M20 150mm SS 304,EA, 2.00 , 399.42 , 71.90 , 471.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,Washer Plain M 20 - SS 304,EA, 2.00 , 19.42 , 3.50 , 23.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Triclover Clamp 1"" OD 3A S04",EA, 10.00 ," 1,700.00 ", 306.00 ," 2,006.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,Bolt DOM M8 60mm SS 304,EA, 5.00 , 145.00 , 26.10 , 171.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,Washer Plain M 8 SS 316,EA, 5.00 , 6.00 , 1.00 , 7.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Serrated Nozzle 3"" Triclover End S6L",EA, 6.00 ," 2,790.00 ", 502.20 ," 3,292.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Hose Clip 3"" - SS 304",EA, 4.00 , 124.00 , 22.32 , 146.00 ,,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,108,04.05.2023,"Hose Clip 2"" - SS 304",EA, 12.00 , 420.00 , 75.60 , 496.00 ,,
37AABCL1170C2ZZ,Laurus Labs Limited-Unit 2,Andhra Pradesh,109,04.05.2023,"Decbectochem PCS B/F Valve 4""PNS04",EA, 2.00 ," 54,000.00 "," 9,720.00 "," 63,720.00 ",,
36AAACD7999Q1ZL,Dr. Reddy’s ,TELANGANA,113,04.05.2023,Distance Piece for Gas spring ,EA , 6.00 , 120.00 , 22.00 , 142.00 ,,
36AAACD7999Q1ZL,Dr. Reddy’s ,TELANGANA,113,04.05.2023,Teflon washer   ,EA , 4.00 , 80.00 , 14.00 , 94.00 ,,
36AAACD7999Q1ZL,Dr. Reddy’s ,TELANGANA,113,04.05.2023, CAPSULE 0.2 micron Filter  ,EA , 1.00 ," 8,100.00 "," 1,458.00 "," 9,558.00 ",,
36AAACD7999Q1ZL,Dr. Reddy’s ,TELANGANA,113,04.05.2023,24 V sol. Coil    5142462G R,EA , 2.00 ," 13,600.00 "," 2,448.00 "," 16,048.00 ",,
36AAACD7999Q1ZL,Dr. Reddy’s ,TELANGANA,113,04.05.2023,U beading gasket 20X10 SILI WHITE,MTRS, 1.00 , 800.00 , 144.00 , 944.00 ,,
 37AAACG8036B1ZX,GLAND PHARMA LIMITED,Andra Pradesh,114,04.05.2023,"3"" X 2 1/2"" Reducer ferrule ",EA, 1.00 , 700.00 , 126.00 , 826.00 ,,
 37AAACG8036B1ZX,GLAND PHARMA LIMITED,Andra Pradesh,114,04.05.2023,"2 1/2"" Nozzle, TC Clamp, gasket ",EA, 2.00 , 600.00 , 108.00 , 708.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Silicon bellow 350x350x180 with clamp,EA, 1.00 ," 7,200.00 ", -   ," 7,200.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Silicon bellow 216x216x130 with clamp,EA, 3.00 ," 10,500.00 ", -   ," 10,500.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Silicon bellow 252x102x1110 with clamp,EA, 2.00 ," 13,000.00 ", -   ," 13,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Silicon bellow 160x160x175  with clamp,EA, 2.00 ," 7,600.00 ", -   ," 7,600.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Silicon bellow 220x140x180 with clamp,EA, 2.00 ," 10,000.00 ", -   ," 10,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Level sensor sapcon make,EA, 1.00 ," 9,500.00 ", -   ," 9,500.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,1’’ TC GASKETS,EA, 6.00 , 84.00 , -   , 84.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,¾’’ Pressure regulator with nozzle,EA, 1.00 ," 4,235.73 ", -   ," 4,236.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Hose Clip 9""",EA, 6.00 , 528.00 , -   , 528.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Hose Clip  14""",EA, 2.00 , 249.60 , -   , 250.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Hose Clip  12""",EA, 2.00 , 110.00 , -   , 110.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Hose Clip 9""",EA, 2.00 , 176.00 , -   , 176.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Hose Clip 7""",EA, 6.00 , 374.00 , -   , 374.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,VALVE HAND LEVER H-5-1/4-B PART 8995F,EA, 2.00 ," 2,597.74 ", -   ," 2,598.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,FLOW CONTROL VALVE BSPF GRLA-1/8-B F,EA, 8.00 , 550.00 , -   , 550.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,CONNECTOR TEE QST--8 FESTO 153130,EA, 4.00 , 154.00 , -   , 154.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,CONNECTOR ELBOW QSL-1/4-8 FESTO 153049,EA, 14.00 , 105.00 , -   , 105.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Sole Valve NFLP Coil24VDC 5142462G ROTEX,EA, 3.00 ," 15,210.00 ", -   ," 15,210.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,2'' serrated nozzle,EA, 3.00 ," 1,020.00 ", -   ," 1,020.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2"" TC Clamps",EA, 5.00 ," 1,040.00 ", -   ," 1,040.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2"" gasket",EA, 5.00 , 90.00 , -   , 90.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"8"" gasket",EA, 4.00 , 400.00 , -   , 400.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,M8 x 80 bolt,EA, 14.00 , 308.00 , -   , 308.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,M8 washer,EA, 14.00 , 12.60 , -   , 13.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2""x2*1/2 reducer",EA, 2.00 , 320.00 , -   , 320.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,2*1/2 serrated nozzle,EA, 3.00 ," 1,092.00 ", -   ," 1,092.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,2*1/2 tc clamp,EA, 3.00 , 712.05 , -   , 712.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,2*1/2 tc gasket,EA, 3.00 , 60.00 , -   , 60.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"3"" hose clamp",EA, 9.00 , 388.80 , -   , 389.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,M12 bolt,EA, 40.00 ," 1,000.00 ", -   ," 1,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,M12 washer,EA, 40.00 , 227.60 , -   , 228.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2""x 3"" reducer",EA, 1.00 , 350.00 , -   , 350.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2"" ferule",EA, 5.00 , 675.00 , -   , 675.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,2x2*1/2 tc,EA, 3.00 , 588.00 , -   , 588.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"1"" TC",EA, 2.00 , 210.00 , -   , 210.00 ,,
